dataset,training_ratio,model,training_time,predict_time,error,model_size
cancer,0.2559547922699536,AdaBoost,0.15739329999996698,0.011986399999841524,0.04629629629629628,1476.0
cancer,0.2559547922699536,kNN,0.00042949999988195486,0.005751100000452425,0.07407407407407407,0
cancer,0.2559547922699536,Logistic Regression,0.007841499999813095,0.00012820000029023504,0.05555555555555558,0
cancer,0.2559547922699536,Neural Network,0.19113149999975576,0.000372100000276987,0.05555555555555558,75266.0
cancer,0.2682695795279726,QDA,0.0008103999998638756,0.00018960000033985125,0.06481481481481477,1860.0
cancer,0.2682695795279726,LDA,0.0011850999999296619,0.00013010000020585721,0.09259259259259256,960.0
cancer,0.2682695795279726,Decicision Tree,0.0012531000002127257,0.00013980000039737206,0.16666666666666663,22.0
cancer,0.2682695795279726,Random Forrest,0.08763180000005377,0.004869999999755237,0.08333333333333337,2092.0
cancer,0.2682695795279726,SVM,0.000944800000070245,0.00012940000033268007,0.09259259259259256,60.0
cancer,0.2682695795279726,AdaBoost,0.15539169999919977,0.012525300000561401,0.09259259259259256,1484.0
cancer,0.2682695795279726,kNN,0.00034560000040073646,0.005653899999742862,0.09259259259259256,0
cancer,0.2682695795279726,Logistic Regression,0.007118500000615313,0.0001449999999749707,0.08333333333333337,0
cancer,0.2682695795279726,Neural Network,0.17876090000027034,0.0003102999999100575,0.08333333333333337,75266.0
cancer,0.281176869797423,QDA,0.0007921999995232909,0.0002623999998832005,0.03703703703703709,1860.0
cancer,0.281176869797423,LDA,0.001169099999970058,0.0001280999995287857,0.04629629629629628,960.0
cancer,0.281176869797423,Decicision Tree,0.0011912999998457963,0.00015609999991283985,0.06481481481481477,26.0
cancer,0.281176869797423,Random Forrest,0.09416400000009162,0.005471499999657681,0.04629629629629628,2448.0
cancer,0.281176869797423,SVM,0.0012785999997504405,0.00015269999948941404,0.05555555555555558,60.0
cancer,0.281176869797423,AdaBoost,0.15434949999962555,0.012042100000144274,0.03703703703703709,1464.0
cancer,0.281176869797423,kNN,0.0003482000001895358,0.005726600000343751,0.10185185185185186,0
cancer,0.281176869797423,Logistic Regression,0.008205400000406371,0.000156799999786017,0.05555555555555558,0
cancer,0.281176869797423,Neural Network,0.20566599999983737,0.0003098999995927443,0.03703703703703709,75266.0
cancer,0.29470517025518106,QDA,0.0008164000000761007,0.00018950000048789661,0.07407407407407407,1860.0
cancer,0.29470517025518106,LDA,0.0011776999999710824,0.00012909999986732146,0.09259259259259256,960.0
cancer,0.29470517025518106,Decicision Tree,0.0014363000000230386,0.0001422000004822621,0.12037037037037035,18.0
cancer,0.29470517025518106,Random Forrest,0.0905493000000206,0.004107799999474082,0.08333333333333337,2220.0
